MSOA11CD,RGN19NM,DeathRate,Deaths,Score,Extent,Proportion
E02000035,London,253.3876831552275,23,13.779417538834418,0,0
E02000036,London,120.223271790468,14,16.19309094031773,0,0
E02000037,London,151.6300227445034,16,12.041352918877937,0,0
E02000038,London,331.0392891366844,38,15.455383657112991,0,0
E02000039,London,96.48518263266712,7,10.677262853204686,0,0
E02000040,London,153.80974917179364,13,15.027209772834832,0,0
E02000041,London,169.4239585409607,17,18.214233306757027,0.017447520535442646,0
E02000042,London,187.80109414550503,23,15.188071364415775,0,0
E02000043,London,109.67584694126249,9,7.436165244942726,0,0
E02000044,London,78.86435331230284,7,23.634414488508337,0.03876746282109057,0
E02000045,London,54.81955230698949,6,19.719869164001828,0.04562741939361879,0
E02000046,London,65.59097468188378,5,12.41804919323101,0,0
E02000047,London,104.65303493801319,13,26.280142247625182,0,0
E02000048,London,65.37779023069021,7,12.86604221537312,0,0
E02000049,London,73.87083157450401,7,35.739242718446604,0,0.6
E02000050,London,63.57856494096276,7,18.464924704813804,0.053385200057364114,0
E02000051,London,141.81523500810374,14,10.4815851904376,0,0
E02000052,London,94.22406482615659,10,11.824613492886083,0,0
E02000053,London,29.967036260113876,5,21.01240335630806,0,0
E02000054,London,117.67782426778243,9,16.553009152719667,0,0
E02000055,London,108.38752709688177,13,15.43691895947974,0,0
E02000056,London,176.91747320220625,17,8.120158809449475,0,0
E02000057,London,183.7109614206981,15,13.976375260257194,0,0
E02000058,London,73.0526892521231,8,10.38681335037896,0,0
E02000059,London,151.60448075465342,18,22.30536755664112,0,0
E02000060,London,105.23759410669474,13,15.278175261070185,0,0
E02000061,London,196.18528610354224,18,14.015214822888284,0,0
E02000062,London,113.94388263780088,8,32.37508930351802,0.06378608535296365,0.5
E02000063,London,125.7071024512885,10,22.114410559396607,0,0
E02000064,London,0,0,21.849771473942543,0,0
E02000065,London,67.03161657915317,6,20.692485867500835,0,0
E02000066,London,127.67629149479474,13,27.945168139854644,0,0.3333333333333333
E02000067,London,66.96001530514636,7,26.12687354122824,0,0
E02000068,London,85.33463367060831,7,28.28161843228087,0,0
E02000069,London,101.28780205469542,7,19.538883374330776,0,0
E02000070,London,61.888847629657135,5,13.605581012501547,0,0
E02000071,London,65.39366989275437,5,17.967679309442847,0,0
E02000072,London,61.35439834343124,8,30.897956284991178,0.08223971809268549,0.5714285714285714
E02000073,London,193.3879731098628,21,8.724305921355556,0,0
E02000074,London,195.78486698145804,17,29.8346384890015,0,0.2
E02000075,London,121.6397031991242,10,8.853320155698821,0,0
E02000077,London,121.74336498660824,10,12.835733260287315,0,0
E02000078,London,113.60767482958849,9,10.394029411764706,0,0
E02000079,London,307.9379562043796,27,13.148632299270073,0,0
E02000080,London,48.365254401238154,5,12.219541594118786,0,0
E02000081,London,123.67054167697256,10,16.42422372000989,0,0
E02000082,London,108.3658430862592,10,8.765380797572604,0,0
E02000083,London,121.02351313969572,14,21.46351452282158,0.09438924073669651,0.16666666666666666
E02000084,London,81.22010648858407,9,9.108367475859579,0,0
E02000085,London,62.158130283441075,5,11.598155768274491,0,0
E02000086,London,82.40626287597857,6,7.653638648537289,0,0
E02000087,London,124.48649321548612,10,8.022583219220715,0,0
E02000088,London,51.29520389843549,4,8.628613362400616,0,0
E02000089,London,192.20912352639672,15,8.009138390568939,0,0
E02000090,London,274.17483918591165,26,11.489252451755773,0,0
E02000091,London,180.41495439510874,18,12.93816908890448,0,0
E02000092,London,162.17013121037888,11,30.82785758513932,0.0328394515701017,0.25
E02000093,London,198.93299575006785,22,18.51639008951985,0,0
E02000094,London,129.3521612590277,12,20.037696238007975,0,0
E02000095,London,90.96422073984233,9,19.059182737012332,0,0
E02000096,London,147.5717735444057,11,11.020234907432252,0,0
E02000097,London,177.24603965880138,16,19.18520039880359,0,0
E02000098,London,239.60704444710672,20,21.877512160057506,0.08787903627524542,0.2
E02000099,London,90.17132551848512,8,18.95483059062218,0.02675656115039627,0
E02000100,London,171.91977077363896,15,12.246499828080228,0,0
E02000101,London,313.7418950010458,30,27.638208952102072,0,0.4
E02000102,London,131.97835554968984,10,33.03625946944701,0,0.25
E02000103,London,86.65511265164645,8,28.83296252166378,0,0.2
E02000104,London,248.10475534114406,18,23.299742660234322,0,0
E02000105,London,82.08495793145906,8,21.424452288118204,0,0
E02000106,London,187.0207593042828,20,33.20524032167571,0,0.5
E02000107,London,51.94355467059129,6,25.07299930741927,0,0
E02000108,London,137.27882855399633,9,20.827094264795605,0,0
E02000109,London,177.46228926353152,24,21.813959701271813,0,0
E02000110,London,69.94637444625788,6,20.896896362788528,0,0
E02000111,London,164.44363237712406,18,22.22093742006212,0,0
E02000112,London,180.43684710351377,19,23.649365242165242,0,0
E02000113,London,165.87186398507154,16,45.0690013477089,0.03597318768619662,1
E02000114,London,90.28892455858748,9,24.58158497191011,0,0
E02000115,London,103.25837540156036,9,23.94391108306563,0,0
E02000116,London,148.8253428298076,14,34.306236844902735,0.11853462986689642,0.25
E02000117,London,295.3061858874728,38,40.78155913894933,0.06870674705102825,0.8333333333333334
E02000118,London,220.20105313547154,23,23.540937577788416,0,0
E02000119,London,320.08830022075057,29,44.74793057395144,0,1
E02000120,London,86.51454525792148,8,25.447692981507515,0,0
E02000121,London,213.73478301273116,23,22.30054502369668,0,0
E02000122,London,155.64202334630352,12,17.47557159533074,0,0
E02000123,London,140.8901697086135,22,36.174791418507844,0,0.7142857142857143
E02000124,London,59.96402158704777,6,21.07918019188487,0,0
E02000125,London,98.46396218983853,10,18.665582709728238,0,0
E02000126,London,103.09278350515464,8,38.3212118556701,0,1
E02000127,London,95.78544061302682,9,31.534147828863347,0.1790585579529923,0.3333333333333333
E02000128,London,115.93456138090944,9,11.717039288934691,0,0
E02000130,London,22.838871759735067,2,17.607553728445815,0,0
E02000131,London,74.85730326564986,8,22.183358379339385,0,0
E02000132,London,116.92487576731949,12,15.09439277014518,0,0
E02000133,London,112.99435028248588,12,6.7421850282485885,0,0
E02000134,London,165.30291759649558,20,16.02757203074634,0,0
E02000135,London,187.0907390084191,20,33.305329840972874,0,0.5
E02000136,London,276.43400138217,16,19.892129060124397,0,0
E02000137,London,140.53167818245697,12,8.410749268064174,0,0
E02000138,London,140.3344638054029,12,6.430611507426032,0,0
E02000139,London,75.07507507507508,6,12.756317692692692,0,0
E02000140,London,90.56945545114911,8,35.63384206951205,0.12973687189784713,0.6
E02000141,London,93.97234528124581,7,15.730196939186468,0,0
E02000142,London,146.85946678716675,13,8.132494577496612,0,0
E02000144,London,29.928172386272944,3,8.568445830007981,0,0
E02000145,London,21.925016443762335,2,33.789095044946286,0.09078053058539792,0.6
E02000146,London,197.42310889443058,19,10.004835307564422,0,0
E02000147,London,96.94619486185168,8,4.966670867668444,0,0
E02000148,London,103.71906949177657,7,7.313720995703067,0,0
E02000149,London,109.98411340584137,9,23.25299718929488,0,0
E02000150,London,57.451453521774106,5,11.107375157991498,0,0
E02000151,London,65.3851183470642,5,4.048932130247155,0,0
E02000152,London,37.4859427714607,3,24.82331863051356,0.01699362738972883,0.25
E02000153,London,63.726739739994905,5,6.168732475146571,0,0
E02000154,London,35.22367030644593,3,11.30938288129623,0,0
E02000155,London,101.01010101010101,7,17.235222077922078,0,0
E02000156,London,139.1503642465417,17,6.689690513219285,0,0
E02000157,London,121.81751735899623,10,5.389071628700207,0,0
E02000158,London,89.02454533892916,7,18.297912628767644,0.17273439225687262,0.2
E02000159,London,114.94252873563218,8,7.230587356321839,0,0
E02000160,London,161.93323368211261,13,7.975946063776782,0,0
E02000161,London,102.41238051888939,9,5.157806554392353,0,0
E02000162,London,199.91432243324292,14,13.268818077966586,0.04010536837595916,0
E02000163,London,142.46859215127574,11,7.78398937961404,0,0
E02000165,London,42.998423391142325,3,8.967196646122975,0,0
E02000166,London,75.10729613733906,7,20.53608948497854,0.05121301106844362,0.2
E02000167,London,30.97893432465923,3,6.407016728624535,0,0
E02000168,London,113.55424796118508,11,16.307360173428304,0,0
E02000169,London,92.109303039607,9,5.965118718657251,0,0
E02000170,London,60.04202942059442,6,13.064923546482538,0,0
E02000171,London,63.0715862503942,6,14.42843803216651,0,0
E02000172,London,137.07466537655216,17,29.090821480406387,0.1088254016754513,0.3333333333333333
E02000173,London,0,0,8.987493352883675,0,0
E02000174,London,38.21534346039935,4,21.603228241138815,0,0
E02000175,London,34.18511238355696,4,15.41861857960858,0,0
E02000176,London,12.594458438287154,1,8.001198740554157,0,0
E02000177,London,124.30675081277491,13,27.494907248039777,0.1766522229267949,0.4
E02000178,London,56.216621381055,6,26.713591305162563,0,0.2
E02000179,London,78.98894154818325,6,15.930390731964192,0,0
E02000180,London,49.20775514221041,5,24.12653626611554,0.07839339269342531,0.2
E02000181,London,10.541851149061776,1,12.552206093189964,0,0
E02000182,London,77.14348688560723,7,13.99910987436632,0,0
E02000183,London,67.52954417557682,6,18.523202476083284,0.15096851583093918,0.2
E02000184,London,73.94398742952214,8,29.965408448100565,0,0.4
E02000185,London,137.37611618094397,14,29.58184280247277,0,0.2
E02000186,London,35.294117647058826,3,25.22752858823529,0,0.25
E02000187,London,77.5995861355406,9,34.94807311605449,0,0.8
E02000188,London,55.18763796909492,5,28.183414459161146,0.007224061810154516,0.4
E02000189,London,41.511000415110004,3,28.4409600110696,0,0.5
E02000190,London,66.85981724983286,6,22.145970247381324,0.0434706110048913,0.2
E02000191,London,33.76477208778841,3,14.905032076533482,0,0
E02000192,London,88.92841262783459,8,22.942825033348157,0,0.25
E02000193,London,22.888532845044633,2,17.62207530327306,0,0
E02000194,London,231.79854599093878,22,23.48944863554947,0,0
